personLabel,person_ID,genderLabel,nacionalidadLabel,occupationLabel,category,decade,birthyear,birthdate,birthdate2,birthcountry,birthplaceLabel,birthpoint,birthpoint2,lat_birth,lon_birth,deathyear,deathdate,deathplaceLabel,deathpoint,deathpoint2,lat_death,lon_death,languages,image,sitelink,Occupation1,Occupation2,Occupation3,Occupation4,Occupation5,Occupation6,Occupation7,Occupation8,Occupation9,Occupation10,Occupation11,Occupation12,Occupation13,Occupation14,Occupation15,Occupation16,Occupation17,Occupation18,Occupation19,Occupation20,Occupation21,Occupation22,Occupation23,Occupation24
Maira Bodenhöfer,http://www.wikidata.org/entity/Q5990176,femenino,Chile,actor,Arte,1980,1986,1986-01-01T00:00:00Z,1/1/1986,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Maira_Bodenh%C3%B6fer,actor,,,,,,,,,,,,,,,,,,,,,,,
Verónica Soffia,http://www.wikidata.org/entity/Q6160741,femenino,Chile,actor,Arte,1980,1986,1986-01-01T00:00:00Z,1/1/1986,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Ver%C3%B3nica_Soffia,actor,,,,,,,,,,,,,,,,,,,,,,,
Fran Straube,http://www.wikidata.org/entity/Q123906731,femenino,Chile,cantante,Arte,1980,1987,1987-12-18T00:00:00Z,12/18/1987,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Fran_Straube,cantante,,,,,,,,,,,,,,,,,,,,,,,
Francisca Walker,http://www.wikidata.org/entity/Q95287279,femenino,Chile,actor,Arte,1980,1987,1987-07-24T00:00:00Z,7/24/1987,http://www.wikidata.org/entity/Q30,Oakland,Point(-122.25 37.8),"37, -122.25",37.000,-122.250,,,,,,,,1,,https://es.wikipedia.org/wiki/Francisca_Walker,actor,,,,,,,,,,,,,,,,,,,,,,,
Libertad Figueroa,http://www.wikidata.org/entity/Q61953564,femenino,Chile,"artista de sonido, artista",Arte,1980,1987,1987-01-01T00:00:00Z,1/1/1987,http://www.wikidata.org/entity/Q96,Ciudad de México,Point(-99.145555555 19.419444444),"19.41944444, -99.145555555",19.419,-99.146,,,,,,,,1,,https://es.wikipedia.org/wiki/Libertad_Figueroa,artista de sonido, artista,,,,,,,,,,,,,,,,,,,,,,
Pamela Soprani,http://www.wikidata.org/entity/Q6059297,femenino,Chile,"participante en concursos de belleza, modelo",Arte,1980,1987,1987-01-01T00:00:00Z,1/1/1987,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Pamela_Soprani,participante en concursos de belleza, modelo,,,,,,,,,,,,,,,,,,,,,,
Sofía Viacava,http://www.wikidata.org/entity/Q6131279,femenino,Chile,modelo,Arte,1980,1987,1987-10-01T00:00:00Z,10/1/1987,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Sof%C3%ADa_Viacava,modelo,,,,,,,,,,,,,,,,,,,,,,,
María José Cumplido,http://www.wikidata.org/entity/Q124034434,femenino,Chile,"activista, historiador, escritor",Arte,1980,1988,1988-03-15T00:00:00Z,3/15/1988,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Mar%C3%ADa_Jos%C3%A9_Cumplido,activista, historiador, escritor,,,,,,,,,,,,,,,,,,,,,
Romina Norambuena,http://www.wikidata.org/entity/Q59587932,femenino,Chile,actor,Arte,1980,1988,1988-12-22T00:00:00Z,12/22/1988,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Romina%20Norambuena%202018.jpg,https://es.wikipedia.org/wiki/Romina_Norambuena,actor,,,,,,,,,,,,,,,,,,,,,,,
Romina Reyes,http://www.wikidata.org/entity/Q117348378,femenino,Chile,"guionista, escritor, periodista",Arte,1980,1988,1988-11-06T00:00:00Z,11/6/1988,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Reyes%2C%20Romina%20-FILSA%202015%2010%2031%20fRF02.jpg,https://es.wikipedia.org/wiki/Romina_Reyes,guionista, escritor, periodista,,,,,,,,,,,,,,,,,,,,,
Valeska Díaz,http://www.wikidata.org/entity/Q16298817,femenino,Chile,actor,Arte,1980,1988,1988-08-29T00:00:00Z,8/29/1988,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Valeska_D%C3%ADaz,actor,,,,,,,,,,,,,,,,,,,,,,,
Alejandra Araya,http://www.wikidata.org/entity/Q48647161,femenino,Chile,actor,Arte,1980,1989,1989-12-27T00:00:00Z,12/27/1989,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Alejandra_Araya,actor,,,,,,,,,,,,,,,,,,,,,,,
Camila López,http://www.wikidata.org/entity/Q5741973,femenino,Chile,actor,Arte,1980,1989,1989-01-11T00:00:00Z,1/11/1989,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Camila_L%C3%B3pez,actor,,,,,,,,,,,,,,,,,,,,,,,
Cancamusa,http://www.wikidata.org/entity/Q60222421,femenino,Chile,cantante,Arte,1980,1989,1989-01-01T00:00:00Z,1/1/1989,http://www.wikidata.org/entity/Q298,Valdivia,Point(-73.2459 -39.8142),"-39.814, -73.2459",-39.814,-73.246,,,,,,,,1,,https://es.wikipedia.org/wiki/Cancamusa,cantante,,,,,,,,,,,,,,,,,,,,,,,
Constanza Araya,http://www.wikidata.org/entity/Q56249606,femenino,Chile,actor,Arte,1980,1989,1989-03-17T00:00:00Z,3/17/1989,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Constanza_Araya,actor,,,,,,,,,,,,,,,,,,,,,,,
Karla Vásquez,http://www.wikidata.org/entity/Q5958346,femenino,Chile,cantante,Arte,1980,1989,1989-08-19T00:00:00Z,8/19/1989,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Karla%20V%C3%A1squez%20Villanueva.jpg,https://es.wikipedia.org/wiki/Karla_V%C3%A1squez,cantante,,,,,,,,,,,,,,,,,,,,,,,
Josefina Fiebelkorn,http://www.wikidata.org/entity/Q19521900,femenino,Chile,actor,Arte,1990,1990,1990-01-01T00:00:00Z,1/1/1990,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Josefina_Fiebelkorn,actor,,,,,,,,,,,,,,,,,,,,,,,
Gabriela Ernst,http://www.wikidata.org/entity/Q5873704,femenino,Chile,cantante,Arte,1990,1992,1992-09-22T00:00:00Z,9/22/1992,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Gabriela_Ernst,cantante,,,,,,,,,,,,,,,,,,,,,,,
Lizz,http://www.wikidata.org/entity/Q113454291,femenino,Chile,"productor, compositor, músico, disc-jockey, empresario, performance, cantante",Arte,1990,1992,1992-03-17T00:00:00Z,3/17/1992,http://www.wikidata.org/entity/Q298,Hualpén,Point(-73.083333333 -36.783333333),"-36.78333333, -73.083333333",-36.783,-73.083,,,,,,,,1,,https://es.wikipedia.org/wiki/Lizz,productor, compositor, músico, disc-jockey, empresario, performance, cantante,,,,,,,,,,,,,,,,,
Maca del Pilar,http://www.wikidata.org/entity/Q60332595,femenino,Chile,"cantante, compositor de canciones",Arte,1990,1992,1992-05-06T00:00:00Z,5/6/1992,http://www.wikidata.org/entity/Q298,La Serena,Point(-71.252 -29.9027),"-29.902, -71.252",-29.902,-71.252,,,,,,,,1,,https://es.wikipedia.org/wiki/Maca_del_Pilar,cantante, compositor de canciones,,,,,,,,,,,,,,,,,,,,,,
Brigitte Jouannet,http://www.wikidata.org/entity/Q122876978,femenino,Chile,"profesor de teatro, actor",Arte,1990,1993,1993-10-27T00:00:00Z,10/27/1993,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Brigitte_Jouannet,profesor de teatro, actor,,,,,,,,,,,,,,,,,,,,,,
Catalina Stuardo,http://www.wikidata.org/entity/Q62029896,femenino,Chile,actor,Arte,1990,1993,1993-01-05T00:00:00Z,1/5/1993,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Catalina_Stuardo,actor,,,,,,,,,,,,,,,,,,,,,,,
María Jesús Vidaurre,http://www.wikidata.org/entity/Q107586212,femenino,Chile,"cantante, actor, modelo",Arte,1990,1996,1996-05-08T00:00:00Z,5/8/1996,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Mar%C3%ADa_Jes%C3%BAs_Vidaurre,cantante, actor, modelo,,,,,,,,,,,,,,,,,,,,,
Vivianne Dietz,http://www.wikidata.org/entity/Q67225975,femenino,Chile,actor,Arte,1990,1996,1996-01-26T00:00:00Z,1/26/1996,http://www.wikidata.org/entity/Q298,Valdivia,Point(-73.2459 -39.8142),"-39.814, -73.2459",-39.814,-73.246,,,,,,,,1,,https://es.wikipedia.org/wiki/Vivianne_Dietz,actor,,,,,,,,,,,,,,,,,,,,,,,
Catalina Castelblanco,http://www.wikidata.org/entity/Q5758107,femenino,Chile,actor,Arte,1990,1997,1997-08-15T00:00:00Z,8/15/1997,http://www.wikidata.org/entity/Q298,San Fernando,Point(-70.9891 -34.5839),"-34.583, -70.9891",-34.583,-70.989,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Catalina%20Castelblanco%202019.jpg,https://es.wikipedia.org/wiki/Catalina_Castelblanco,actor,,,,,,,,,,,,,,,,,,,,,,,
Dulce y Agraz,http://www.wikidata.org/entity/Q60222322,femenino,Chile,"cantante, músico, compositor",Arte,1990,1998,1998-08-19T00:00:00Z,8/19/1998,http://www.wikidata.org/entity/Q298,Concepción,Point(-73.050277777 -36.826944444),"-36.82694444, -73.050277777",-36.827,-73.050,,,,,,,,1,,https://es.wikipedia.org/wiki/Dulce_y_Agraz,cantante, músico, compositor,,,,,,,,,,,,,,,,,,,,,
Teresita Commentz,http://www.wikidata.org/entity/Q22122551,femenino,Chile,actor,Arte,2000,2001,2001-05-18T00:00:00Z,5/18/2001,http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0),"-33, -71",-33.000,-71.000,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Teresita%20Commentz%202018.jpg,https://es.wikipedia.org/wiki/Teresita_Commentz,actor,,,,,,,,,,,,,,,,,,,,,,,
María Fernanda Bertero,http://www.wikidata.org/entity/Q76542529,femenino,Chile,actor,Arte,2000,2002,2002-08-30T00:00:00Z,8/30/2002,http://www.wikidata.org/entity/Q298,Quillota,Point(-71.2474 -32.8799),"-32.879, -71.2474",-32.879,-71.247,,,,,,,,1,,https://es.wikipedia.org/wiki/Mar%C3%ADa_Fernanda_Bertero,actor,,,,,,,,,,,,,,,,,,,,,,,
Amparo Arcaya,http://www.wikidata.org/entity/Q50414129,femenino,Chile,"médico, psiquiatra",Ciencia y tecnología,1900,1901,1901-08-28T00:00:00Z,8/28/1901,http://www.wikidata.org/entity/Q298,San Fernando,Point(-70.9891 -34.5839),"-34.583, -70.9891",-34.583,-70.989,2001,2001-11-05T00:00:00Z,Valparaíso,Point(-71.619722222 -33.046111111),"-33.04611111, -71.619722222",-33.046,-71.620,1,,https://es.wikipedia.org/wiki/Amparo_Arcaya,médico, psiquiatra,,,,,,,,,,,,,,,,,,,,,,
María Angélica Mondaca,http://www.wikidata.org/entity/Q6003339,femenino,Chile,bioquímico,Ciencia y tecnología,1900,1901,1901-01-01T00:00:00Z,1/1/1901,http://www.wikidata.org/entity/Q298,Concepción,Point(-73.050277777 -36.826944444),"-36.82694444, -73.050277777",-36.827,-73.050,,,,,,,,1,,https://es.wikipedia.org/wiki/Mar%C3%ADa_Ang%C3%A9lica_Mondaca,bioquímico,,,,,,,,,,,,,,,,,,,,,,,
María Eugenia Hirmas,http://www.wikidata.org/entity/Q6003779,femenino,Chile,sociólogo,Ciencia y tecnología,1900,1901,1901-01-01T00:00:00Z,1/1/1901,http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0),"-33, -71",-33.000,-71.000,,,,,,,,1,,https://es.wikipedia.org/wiki/Mar%C3%ADa_Eugenia_Hirmas,sociólogo,,,,,,,,,,,,,,,,,,,,,,,
Irma Pennacchiotti Monti,http://www.wikidata.org/entity/Q112181156,femenino,Chile,"Q71049973, profesor universitario",Ciencia y tecnología,1920,1921,1921-03-14T00:00:00Z,3/14/1921,http://www.wikidata.org/entity/Q298,Valparaíso,Point(-71.619722222 -33.046111111),"-33.04611111, -71.619722222",-33.046,-71.620,,,,,,,,1,,https://es.wikipedia.org/wiki/Irma_Pennacchiotti,Q71049973, profesor universitario,,,,,,,,,,,,,,,,,,,,,,
Mitzy Canessa,http://www.wikidata.org/entity/Q114729198,femenino,Chile,"fisiólogo, profesor universitario",Ciencia y tecnología,1930,1930,1930-07-15T00:00:00Z,7/15/1930,http://www.wikidata.org/entity/Q298,Antofagasta,Point(-70.398055555 -23.646388888),"-23.64638888, -70.398055555",-23.646,-70.398,1997,1997-02-01T00:00:00Z,,,,,,1,,https://es.wikipedia.org/wiki/Mitzy_Canessa,fisiólogo, profesor universitario,,,,,,,,,,,,,,,,,,,,,,
Fanny Pollarolo,http://www.wikidata.org/entity/Q5855924,femenino,Chile,"psiquiatra, político",Ciencia y tecnología,1930,1935,1935-03-07T00:00:00Z,3/7/1935,http://www.wikidata.org/entity/Q298,Linares,Point(-71.5979 -35.8454),"-35.845, -71.5979",-35.845,-71.598,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Fanny%20Pollarolo%20Villa.jpg,https://es.wikipedia.org/wiki/Fanny_Pollarolo,psiquiatra, político,,,,,,,,,,,,,,,,,,,,,,
Myriam Beach,http://www.wikidata.org/entity/Q117360858,femenino,Chile,"arquitecto del paisaje, arquitecto",Ciencia y tecnología,1930,1936,1936-03-31T00:00:00Z,3/31/1936,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Myriam%20Beach%20at%20Barco%20Gallery%20in%20Santiago.jpg,https://es.wikipedia.org/wiki/Myriam_Beach,arquitecto del paisaje, arquitecto,,,,,,,,,,,,,,,,,,,,,,
María Elena Ovalle,http://www.wikidata.org/entity/Q5476722,femenino,Chile,"empresario, economista",Ciencia y tecnología,1930,1937,1937-03-24T00:00:00Z,3/24/1937,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Elena%20Ovalle.jpg,https://es.wikipedia.org/wiki/Mar%C3%ADa_Elena_Ovalle,empresario, economista,,,,,,,,,,,,,,,,,,,,,,
Luisa Ruz,http://www.wikidata.org/entity/Q61354455,femenino,Chile,"entomólogo, académico",Ciencia y tecnología,1940,1940,1940-12-12T00:00:00Z,12/12/1940,http://www.wikidata.org/entity/Q298,Valparaíso,Point(-71.619722222 -33.046111111),"-33.04611111, -71.619722222",-33.046,-71.620,,,,,,,,1,,https://es.wikipedia.org/wiki/Luisa_Ruz,entomólogo, académico,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Chiappa,http://www.wikidata.org/entity/Q112844817,femenino,Chile,"entomólogo, académico",Ciencia y tecnología,1940,1941,1941-02-05T00:00:00Z,2/5/1941,http://www.wikidata.org/entity/Q298,Valparaíso,Point(-71.619722222 -33.046111111),"-33.04611111, -71.619722222",-33.046,-71.620,2022,2022-06-23T00:00:00Z,Viña del Mar,Point(-71.5518 -33.0245),"-33.024, -71.5518",-33.024,-71.552,1,,https://es.wikipedia.org/wiki/Elizabeth_Chiappa,entomólogo, académico,,,,,,,,,,,,,,,,,,,,,,
María Antonieta Valenzuela,http://www.wikidata.org/entity/Q61953446,femenino,Chile,científico,Ciencia y tecnología,1940,1945,1945-01-01T00:00:00Z,1/1/1945,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Dra.%20Mar%C3%ADa%20Antonieta%20Valenzuela.png,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonieta_Valenzuela,científico,,,,,,,,,,,,,,,,,,,,,,,
Pilar Errázuriz,http://www.wikidata.org/entity/Q9059624,femenino,Chile,"profesor universitario, psicoanalista, psicólogo",Ciencia y tecnología,1940,1948,1948-02-18T00:00:00Z,2/18/1948,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,2018,2018-02-24T00:00:00Z,Olmué,Point(-71.2 -33.0),"-33, -71.2",-33.000,-71.200,1,http://commons.wikimedia.org/wiki/Special:FilePath/Pilar%20Errazuriz.jpg,https://es.wikipedia.org/wiki/Pilar_Err%C3%A1zuriz,profesor universitario, psicoanalista, psicólogo,,,,,,,,,,,,,,,,,,,,,
Verónica Cereceda,http://www.wikidata.org/entity/Q62056525,femenino,Chile,"antropólogo, etnólogo",Ciencia y tecnología,1950,1950,1950-01-01T00:00:00Z,1/1/1950,http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0),"-33, -71",-33.000,-71.000,,,,,,,,1,,https://es.wikipedia.org/wiki/Ver%C3%B3nica_Cereceda,antropólogo, etnólogo,,,,,,,,,,,,,,,,,,,,,,
Cecilia Vergara,http://www.wikidata.org/entity/Q83750008,femenino,Chile,"biólogo, fisiólogo",Ciencia y tecnología,1950,1953,1953-11-05T00:00:00Z,11/5/1953,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,,https://es.wikipedia.org/wiki/Cecilia_Vergara,biólogo, fisiólogo,,,,,,,,,,,,,,,,,,,,,,
Susana Verdugo Baraona,http://www.wikidata.org/entity/Q6136394,femenino,Chile,"médico, cirujano, político",Ciencia y tecnología,1950,1955,1955-10-10T00:00:00Z,10/10/1955,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Susana%20Verdugo.jpg,https://es.wikipedia.org/wiki/Susana_Verdugo,médico, cirujano, político,,,,,,,,,,,,,,,,,,,,,
Vicky Barahona,http://www.wikidata.org/entity/Q18643851,femenino,Chile,"médico, cirujano, político",Ciencia y tecnología,1950,1959,1959-05-16T00:00:00Z,5/16/1959,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Vicky%20Barahona%2019-12-2011.jpg,https://es.wikipedia.org/wiki/Vicky_Barahona,médico, cirujano, político,,,,,,,,,,,,,,,,,,,,,
María Eugenia Wagner,http://www.wikidata.org/entity/Q6003800,femenino,Chile,"político, economista",Ciencia y tecnología,1960,1962,1962-09-13T00:00:00Z,9/13/1962,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Eugenia%20Wagner.png,https://es.wikipedia.org/wiki/Mar%C3%ADa_Eugenia_Wagner,político, economista,,,,,,,,,,,,,,,,,,,,,,
Solange Berstein,http://www.wikidata.org/entity/Q6131394,femenino,Chile,economista,Ciencia y tecnología,1960,1967,1967-11-30T00:00:00Z,11/30/1967,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Solange%20Berstein.jpg,https://es.wikipedia.org/wiki/Solange_Berstein,economista,,,,,,,,,,,,,,,,,,,,,,,
Marcela Mardones,http://www.wikidata.org/entity/Q61997529,femenino,Chile,científico,Ciencia y tecnología,1960,1968,1968-01-05T00:00:00Z,1/5/1968,http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0),"-33, -71",-33.000,-71.000,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Dra.%20Marcela%20Alejandra%20Mardones%20Montanares.jpg,https://es.wikipedia.org/wiki/Marcela_Mardones,científico,,,,,,,,,,,,,,,,,,,,,,,
Marcela Mella,http://www.wikidata.org/entity/Q114835131,femenino,Chile,"político, ambientalista",Ciencia y tecnología,1960,1968,1968-10-30T00:00:00Z,10/30/1968,http://www.wikidata.org/entity/Q298,Vallenar,Point(-70.7616 -28.5751),"-28.575, -70.7616",-28.575,-70.762,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Marcela%20Mella%20Ortiz.png,https://es.wikipedia.org/wiki/Marcela_Mella,político, ambientalista,,,,,,,,,,,,,,,,,,,,,,
Ignacia Fernández Gatica,http://www.wikidata.org/entity/Q124253924,femenino,Chile,"sociólogo, político",Ciencia y tecnología,1970,1973,1973-07-31T00:00:00Z,7/31/1973,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/IgnaciaFernandezGatica.jpg,https://es.wikipedia.org/wiki/Ignacia_Fern%C3%A1ndez_Gatica,sociólogo, político,,,,,,,,,,,,,,,,,,,,,,
Viviana Delgado,http://www.wikidata.org/entity/Q111311559,femenino,Chile,"político, ambientalista",Ciencia y tecnología,1970,1973,1973-09-04T00:00:00Z,9/4/1973,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Viviana%20Delgado%20Riquelme.jpg,https://es.wikipedia.org/wiki/Viviana_Delgado,político, ambientalista,,,,,,,,,,,,,,,,,,,,,,
Marcela Vidal,http://www.wikidata.org/entity/Q98562780,femenino,Chile,"herpetólogo, profesor universitario",Ciencia y tecnología,1970,1974,1974-11-08T00:00:00Z,11/8/1974,http://www.wikidata.org/entity/Q298,Linares,Point(-71.5979 -35.8454),"-35.845, -71.5979",-35.845,-71.598,,,,,,,,1,,https://es.wikipedia.org/wiki/Marcela_Vidal,herpetólogo, profesor universitario,,,,,,,,,,,,,,,,,,,,,,
Olga Barbosa,http://www.wikidata.org/entity/Q87273470,femenino,Chile,"científico, profesor",Ciencia y tecnología,1970,1975,1975-05-14T00:00:00Z,5/14/1975,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/OlgaBarbosaEnVi%C3%B1edos.jpg,https://es.wikipedia.org/wiki/Olga_Barbosa,científico, profesor,,,,,,,,,,,,,,,,,,,,,,
Marcela Sepúlveda,http://www.wikidata.org/entity/Q86437630,femenino,Francia,"investigador, arqueólogo",Ciencia y tecnología,1970,1976,1976-12-17T00:00:00Z,12/17/1976,http://www.wikidata.org/entity/Q142,Créteil,Point(2.453055555 48.777777777),"48.77777777, 2.453055555",48.778,2.453,,,,,,,,1,,https://es.wikipedia.org/wiki/Marcela_Sep%C3%BAlveda,investigador, arqueólogo,,,,,,,,,,,,,,,,,,,,,,
Marta Bravo,http://www.wikidata.org/entity/Q111457963,femenino,Chile,"kinesiólogo, político, médico de cabecera",Ciencia y tecnología,1970,1976,1976-02-25T00:00:00Z,2/25/1976,http://www.wikidata.org/entity/Q298,Chillán,Point(-72.1033 -36.6067),"-36.606, -72.1033",-36.606,-72.103,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Marta%20Bravo%20Salinas.jpg,https://es.wikipedia.org/wiki/Marta_Bravo,kinesiólogo, político, médico de cabecera,,,,,,,,,,,,,,,,,,,,,
Alejandra Mustakis,http://www.wikidata.org/entity/Q19589369,femenino,Chile,"emprendedor, diseñador industrial",Ciencia y tecnología,1970,1977,1977-01-01T00:00:00Z,1/1/1977,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/ALEJANDRA%20MUSTAKIS%20%282018%29.jpg,https://es.wikipedia.org/wiki/Alejandra_Mustakis,emprendedor, diseñador industrial,,,,,,,,,,,,,,,,,,,,,,
Krist Naranjo,http://www.wikidata.org/entity/Q107234609,femenino,Chile,permacultura,Ciencia y tecnología,1970,1977,1977-04-08T00:00:00Z,4/8/1977,http://www.wikidata.org/entity/Q298,Curicó,Point(-71.2394 -34.9854),"-34.985, -71.2394",-34.985,-71.239,,,,,,,,1,,https://es.wikipedia.org/wiki/Krist_Naranjo,permacultura,,,,,,,,,,,,,,,,,,,,,,,
María Inés Barría,http://www.wikidata.org/entity/Q47814490,femenino,Chile,microbiólogo,Ciencia y tecnología,1970,1977,1977-11-22T00:00:00Z,11/22/1977,http://www.wikidata.org/entity/Q298,Puerto Montt,Point(-72.9396 -41.4718),"-41.471, -72.9396",-41.471,-72.940,,,,,,,,1,,https://es.wikipedia.org/wiki/Mar%C3%ADa_In%C3%A9s_Barr%C3%ADa,microbiólogo,,,,,,,,,,,,,,,,,,,,,,,
Andrea Macías Palma,http://www.wikidata.org/entity/Q107210754,femenino,Chile,"sociólogo, político",Ciencia y tecnología,1970,1978,1978-02-19T00:00:00Z,2/19/1978,http://www.wikidata.org/entity/Q298,Coyhaique,Point(-72.0685 -45.5712),"-45.571, -72.0685",-45.571,-72.069,,,,,,,,1,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20Macias%20Elecciones%202021.jpg,https://es.wikipedia.org/wiki/Andrea_Mac%C3%ADas_Palma,sociólogo, político,,,,,,,,,,,,,,,,,,,,,,
